[879, 0.5]
[808, 0.5]
[879, 0.5]
[879, 0.5]
[879, 0.5]
Gen 20: Best Score = 0.1275, Params = [1000, 0.545]
[879, 0.5239293112503179]
[879, 0.5]
[879, 0.5]
[879, 0.5]
[956, 0.5]
[1000, 0.545]
[1000, 0.545]
[791, 0.5]
[1000, 0.5995000000000001]
[949, 0.5]
[879, 0.5]
[879, 0.5]
[966, 0.5]
[1000, 0.5]
[879, 0.5239293112503179]
[949, 0.5]
[949, 0.5]
[966, 0.5]
[879, 0.5]
[808, 0.545]
Gen 21: Best Score = 0.1197, Params = [1000, 0.5]
[879, 0.5]
[949, 0.54]
[1000, 0.545]
[1000, 0.545]
[1000, 0.5239293112503179]
[879, 0.5995000000000001]
[1000, 0.5]
[1000, 0.545]
[1000, 0.5]
[879, 0.5]
[879, 0.5]
[966, 0.5]
[808, 0.5]
[966, 0.5]
[791, 0.5995000000000001]
[1000, 0.5]
[879, 0.5]
[1000, 0.5]
[879, 0.5]
[791, 0.5710829492628466]
Gen 22: Best Score = 0.1345, Params = [1000, 0.5]
[879, 0.5]
[711, 0.6224804146965028]
[910, 0.545]
[879, 0.545]
[879, 0.5]
[879, 0.545]
[879, 0.5995000000000001]
[966, 0.6594500000000002]
[879, 0.5]
[879, 0.5]
[879, 0.6594500000000002]
[1000, 0.545]
[879, 0.54]
[862, 0.6474600000000001]
[1000, 0.5]
[1000, 0.5]
[879, 0.545]
[1000, 0.545]
[1000, 0.5]
[1000, 0.5]
Gen 23: Best Score = 0.1361, Params = [879, 0.5]
[879, 0.5995000000000001]
[1000, 0.545]
[791, 0.5]
[879, 0.5]
[879, 0.5995000000000001]
[879, 0.545]
[1000, 0.5]
[879, 0.545]
[1000, 0.5]
[879, 0.5]
[1000, 0.5]
[808, 0.5]
[966, 0.545]
[862, 0.7122060000000002]
[879, 0.5014000000000001]
[879, 0.545]
[879, 0.5]
[900, 0.545]
[879, 0.545]
[879, 0.545]
Gen 24: Best Score = 0.1314, Params = [879, 0.5]
[879, 0.545]
[879, 0.5]
[1000, 0.5]
[879, 0.5]
[879, 0.5]
[879, 0.5]
[879, 0.5]
[879, 0.545]
[879, 0.545]
[879, 0.5]
[958, 0.545]
[949, 0.54]
[879, 0.5]
[879, 0.5014000000000001]
[879, 0.5]
[1000, 0.5]
[879, 0.5]
[910, 0.545]
[799, 0.5]
[1000, 0.5]
Gen 25: Best Score = 0.1185, Params = [879, 0.54]
[879, 0.5]
[879, 0.545]
[879, 0.545]
[879, 0.545]
[958, 0.545]
[958, 0.545]
[879, 0.5]
[879, 0.54]
[799, 0.5]
[1000, 0.5]
[879, 0.5]
[879, 0.5]
[879, 0.54]
[879, 0.5]
[958, 0.5995000000000001]
[879, 0.5]
[791, 0.545]
[900, 0.5]
[879, 0.545]
[879, 0.545]
Gen 26: Best Score = 0.1287, Params = [879, 0.5]
[879, 0.5]
[958, 0.54]
[799, 0.545]
[966, 0.545]
[879, 0.5]
[879, 0.545]
[966, 0.5]
[1000, 0.5]
[966, 0.545]
[958, 0.6594500000000002]
[958, 0.545]
[1000, 0.5]
[958, 0.5995000000000001]
[1000, 0.545]
[879, 0.545]
[958, 0.545]
[879, 0.5]
[799, 0.54]
[879, 0.5]
[879, 0.5014000000000001]
Gen 27: Best Score = 0.1498, Params = [879, 0.5014000000000001]
[879, 0.5]
[879, 0.54]
[1000, 0.5]
[1000, 0.545]
[1000, 0.55]
[966, 0.6594500000000002]
[966, 0.545]
[799, 0.54]
[879, 0.5014000000000001]
[879, 0.54]
[879, 0.5]
[799, 0.54]
[879, 0.5]
[799, 0.5]
[966, 0.5]
[879, 0.5]
[879, 0.5]
[1000, 0.5]
[966, 0.545]
[910, 0.5]
Gen 28: Best Score = 0.1064, Params = [966, 0.5886000000000001]
[1000, 0.5995000000000001]
[966, 0.5]
[879, 0.5]
[1000, 0.545]
[910, 0.545]
[1000, 0.545]
[1000, 0.545]
[879, 0.54]
[879, 0.55]
[910, 0.5]
[879, 0.545]
[1000, 0.5]
[879, 0.5832]
[910, 0.5]
[949, 0.5]
[966, 0.5886000000000001]
[966, 0.545]
[879, 0.54]
[958, 0.5886000000000001]
[879, 0.54]
Gen 29: Best Score = 0.1275, Params = [879, 0.5]
[966, 0.5]
[966, 0.54]
[879, 0.545]
[949, 0.545]
[799, 0.5886000000000001]
[966, 0.545]
[791, 0.545]
[879, 0.54]
[966, 0.545]
[879, 0.5886000000000001]
[966, 0.5886000000000001]
[879, 0.5]
[879, 0.5]
[966, 0.545]
[1000, 0.5]
[869, 0.5]
[1000, 0.5]
[879, 0.5]
[1000, 0.545]
[791, 0.54]
Gen 30: Best Score = 0.1146, Params = [869, 0.5]
[869, 0.545]
[879, 0.5886000000000001]
[1000, 0.5]
[869, 0.545]
[966, 0.54]
[879, 0.5]
[799, 0.5886000000000001]
[869, 0.5]
[966, 0.54]
[1000, 0.5]
[869, 0.5]
[966, 0.5886000000000001]
[966, 0.5886000000000001]
[1000, 0.545]
[949, 0.5886000000000001]
[1000, 0.5]
[869, 0.5]
[869, 0.5]
[1000, 0.5]
[1000, 0.545]
Gen 31: Best Score = 0.1405, Params = [966, 0.5886000000000001]
[1000, 0.5]
[966, 0.5886000000000001]
[966, 0.5]
[966, 0.5886000000000001]
[966, 0.6356880000000001]
[966, 0.6474600000000001]
[1000, 0.5]
[1000, 0.5]
[966, 0.5886000000000001]
[1000, 0.545]
[966, 0.5886000000000001]
[949, 0.5886000000000001]
[966, 0.5886000000000001]
[966, 0.54]
[1000, 0.5]
[949, 0.5886000000000001]
[869, 0.545]
[1000, 0.5886000000000001]
[1000, 0.5]
[869, 0.545]
Gen 32: Best Score = 0.1226, Params = [920, 0.5]
[966, 0.5]
[966, 0.5]
[1000, 0.5]
[966, 0.54]
[1000, 0.5886000000000001]
[966, 0.5886000000000001]
[1000, 0.5]
[966, 0.5886000000000001]
[1000, 0.5886000000000001]
[869, 0.545]
[1000, 0.5]
[966, 0.5]
[1000, 0.5]
[1000, 0.6356880000000001]
[920, 0.5]
[966, 0.54]
[966, 0.5]
[966, 0.5]
[1000, 0.55]
[1000, 0.5]
Gen 33: Best Score = 0.1357, Params = [966, 0.5]
[966, 0.5]
[1000, 0.5]
[966, 0.54]
[966, 0.54]
[966, 0.5]
[966, 0.5]
[966, 0.5]
[1000, 0.5]
[1000, 0.55]
[1000, 0.5]
[966, 0.54]
[920, 0.54]
[869, 0.55]
[1000, 0.54]
[966, 0.54]
[1000, 0.5]
[966, 0.5]
[966, 0.54]
[1000, 0.5]
[966, 0.5]
Gen 34: Best Score = 0.1681, Params = [966, 0.5]
[920, 0.5]
[966, 0.5]
[966, 0.54]
[920, 0.54]
[966, 0.5]
[920, 0.54]
[920, 0.54]
[1000, 0.54]
[966, 0.54]
[869, 0.5]
[966, 0.55]
[966, 0.5]
[966, 0.54]
[1000, 0.5]
[1000, 0.5]
[966, 0.54]
[966, 0.54]
[920, 0.5]
[1000, 0.545]
[1000, 0.5]
Gen 35: Best Score = 0.1400, Params = [1000, 0.54]
[1000, 0.5]
[920, 0.5]
[966, 0.5]
[1000, 0.5]
[846, 0.54]
[966, 0.54]
[1000, 0.54]
[966, 0.5]
[966, 0.545]
[920, 0.5]
[966, 0.5]
[837, 0.5]
[1000, 0.54]
[920, 0.54]
[966, 0.5]
[966, 0.5]
[1000, 0.54]
[1000, 0.5]
[910, 0.5]
[1000, 0.5]
Gen 36: Best Score = 0.1350, Params = [1000, 0.5]
[1000, 0.5832]
[1000, 0.5]
[966, 0.5]
[1000, 0.5]
[1000, 0.5]
[837, 0.54]
[966, 0.545]
[1000, 0.5]
[966, 0.5]
[1000, 0.5]
[1000, 0.5]
[1000, 0.5]
[1000, 0.5]
[966, 0.5]
[920, 0.5]
[1000, 0.5]
[837, 0.5]
[920, 0.5]
[837, 0.5]
[920, 0.5]
Gen 37: Best Score = 0.1424, Params = [966, 0.5]
[966, 0.5]
[966, 0.5]
[1000, 0.5]
[1000, 0.5832]
[920, 0.5]
[761, 0.5]
[1000, 0.5]
[1000, 0.5]
[966, 0.5]
[1000, 0.6298560000000001]
[966, 0.5]
[966, 0.5]
[837, 0.5]
[1000, 0.5832]
[837, 0.5]
[966, 0.5832]
[966, 0.5]
[910, 0.5832]
[1000, 0.5]
[1000, 0.5]
Gen 38: Best Score = 0.1324, Params = [1000, 0.5]
[966, 0.5]
[1000, 0.5]
[966, 0.5]
[1000, 0.5]
[920, 0.6298560000000001]
[966, 0.5]
[966, 0.5]
[966, 0.5]
[920, 0.55]
[1000, 0.5]
[920, 0.6298560000000001]
[966, 0.5]
[966, 0.5]
[1000, 0.5]
[910, 0.6298560000000001]
[920, 0.5832]
[1000, 0.5]
[828, 0.5]
[920, 0.5]
[1000, 0.5]
Gen 39: Best Score = 0.1257, Params = [910, 0.5]
[819, 0.6928416000000002]
[1000, 0.5]
[1000, 0.5]
[966, 0.5]
[966, 0.5]
[920, 0.5]
[1000, 0.5]
[966, 0.5]
[966, 0.5832]
[920, 0.5832]
[920, 0.5832]
[1000, 0.5]
[966, 0.5]
[920, 0.6865430400000001]
[966, 0.5]
[910, 0.5]
[966, 0.5]
[966, 0.5]
[966, 0.6298560000000001]
[966, 0.5]
Gen 40: Best Score = 0.1273, Params = [920, 0.5832]
[966, 0.5]
[1000, 0.5]
[910, 0.5]
[920, 0.5832]
[920, 0.5]
[920, 0.5832]
[920, 0.5]
[910, 0.55]
[966, 0.5]
[1000, 0.5]
[1000, 0.52488]
[1000, 0.5]
[920, 0.5832]
[1000, 0.545]
[966, 0.5]
[1000, 0.5]
[1000, 0.5832]
[1000, 0.5]
[920, 0.5]
[837, 0.5]
Gen 41: Best Score = 0.1419, Params = [1000, 0.5832]
[910, 0.5]
[920, 0.5]
[966, 0.5]
[910, 0.5]
[1000, 0.5]
[837, 0.5832]
[837, 0.5]
[910, 0.55]
[1000, 0.5]
[966, 0.5]
[1000, 0.5]
[1000, 0.55]
[910, 0.55]
[966, 0.5]
[966, 0.5]
[869, 0.55]
[837, 0.5]
[1000, 0.5832]
[910, 0.5]
[982, 0.52488]
Gen 42: Best Score = 0.1252, Params = [846, 0.5]
[910, 0.5]
[910, 0.5]
[846, 0.5]
[837, 0.5]
[1000, 0.5]
[966, 0.5]
[910, 0.5]
[982, 0.55]
[1000, 0.5]
[1000, 0.52488]
[837, 0.5]
[920, 0.5832]
[903, 0.52488]
[1000, 0.52488]
[966, 0.5]
[920, 0.55]
[910, 0.5005000000000001]
[920, 0.5]
[910, 0.5]
[920, 0.5]
Gen 43: Best Score = 0.1263, Params = [903, 0.5]
[920, 0.5]
[1000, 0.5]
[920, 0.5]
[920, 0.5]
[883, 0.5]
[846, 0.5]
[910, 0.5]
[837, 0.55]
[903, 0.5]
[1000, 0.5]
[910, 0.5]
[1000, 0.5]
[1000, 0.5]
[846, 0.5]
[982, 0.55]
[837, 0.5]
[982, 0.55]
[912, 0.545]
[837, 0.5]
[819, 0.5]
Gen 44: Best Score = 0.1328, Params = [982, 0.54]
[837, 0.55]
[1000, 0.5]
[837, 0.55]
[837, 0.5]
[1000, 0.5]
[910, 0.5]
[903, 0.5]
[910, 0.5]
[1000, 0.55]
[1000, 0.545]
[846, 0.5]
[920, 0.5]
[912, 0.5]
[1000, 0.5]
[982, 0.54]
[920, 0.5]
