Random seed: 42
[316, 0.8265074567167334]
[316, 0.9183416185741482]
[240, 0.8348560168855892]
[284, 0.9183416185741482]
[284, 0.9183416185741482]
[196, 1.0]
[176, 0.8265074567167334]
[255, 0.9091582023884068]
[196, 0.7376993589350528]
[316, 0.8348560168855892]
[215, 0.8114692948285581]
[284, 0.9183416185741482]
Gen 20: Best Score = 0.0355, Params = [316, 0.8265074567167334]
[196, 0.8265074567167334]
[284, 0.8114692948285581]
[215, 0.8114692948285581]
[259, 0.9183416185741482]
[196, 1.0]
[176, 1.0]
[255, 0.9183416185741482]
[284, 0.9183416185741482]
[284, 1.0]
[284, 0.8265074567167334]
[316, 0.8265074567167334]
[259, 1.0]
[284, 1.0]
[316, 0.6639294230415476]
[256, 1.0]
[215, 1.0]
[259, 1.0]
[316, 0.8265074567167334]
[316, 0.8265074567167334]
[196, 0.7376993589350528]
[259, 0.7513704151970303]
[284, 1.0]
[284, 0.9183416185741482]
[259, 0.7513704151970303]
[256, 0.9183416185741482]
[284, 1.0]
[259, 0.8114692948285581]
[196, 0.8265074567167334]
[284, 0.8265074567167334]
[347, 0.9183416185741482]
Gen 21: Best Score = 0.0455, Params = [316, 0.7513704151970303]
[196, 1.0]
[193, 1.0]
[316, 0.6639294230415476]
[230, 1.0]
[259, 0.8265074567167334]
[316, 0.8265074567167334]
[284, 0.9]
[312, 0.8265074567167334]
[196, 1.0]
[284, 0.8265074567167334]
[255, 0.8114692948285581]
[347, 1.0]
[316, 0.8265074567167334]
[256, 1.0]
[176, 1.0]
[347, 0.9183416185741482]
[284, 1.0]
[256, 1.0]
[259, 0.7513704151970303]
[255, 0.9183416185741482]
[255, 1.0]
[347, 1.0]
[196, 1.0]
[316, 0.6639294230415476]
[255, 0.8265074567167334]
[259, 0.8265074567167334]
[256, 1.0]
[176, 0.9]
[284, 0.9183416185741482]
[316, 0.7513704151970303]
Gen 22: Best Score = 0.0691, Params = [347, 1.0]
[230, 1.0]
[284, 0.8265074567167334]
[196, 1.0]
[176, 1.0]
[196, 1.0]
[230, 0.9]
[176, 0.6639294230415476]
[255, 0.7513704151970303]
[196, 0.7438567110450601]
[312, 1.0]
[259, 1.0]
[316, 0.8265074567167334]
[347, 0.9]
[259, 0.9091582023884068]
[347, 1.0]
[284, 0.9]
[255, 0.9]
[196, 1.0]
[196, 0.9900000000000001]
[284, 1.0]
[284, 0.7303223653457023]
[230, 0.9]
[255, 0.8265074567167334]
[316, 0.9183416185741482]
[316, 0.9]
[316, 0.5975364807373928]
[284, 1.0]
[230, 1.0]
[230, 1.0]
[255, 0.9183416185741482]
Gen 23: Best Score = 0.0777, Params = [230, 1.0]
[259, 0.9]
[316, 0.9]
[316, 0.9183416185741482]
[230, 1.0]
[196, 1.0]
[196, 1.0]
[196, 0.9900000000000001]
[196, 1.0]
[316, 1.0]
[176, 1.0]
[316, 0.9]
[255, 0.8265074567167334]
[316, 0.9]
[215, 1.0]
[196, 1.0]
[196, 1.0]
[176, 0.9900000000000001]
[284, 0.9]
[347, 1.0]
[196, 1.0]
[230, 0.9]
[196, 1.0]
[196, 0.81]
[316, 1.0]
[230, 0.9]
[230, 1.0]
[284, 0.9]
[284, 1.0]
[230, 1.0]
[316, 0.5975364807373928]
Gen 24: Best Score = 0.1129, Params = [196, 0.9]
[312, 0.9]
[230, 1.0]
[316, 0.5975364807373928]
[230, 0.9900000000000001]
[207, 0.9]
[316, 1.0]
[316, 0.9]
[215, 1.0]
[196, 1.0]
[196, 0.7290000000000001]
[253, 0.9]
[316, 0.9183416185741482]
[347, 0.9]
[196, 1.0]
[196, 0.81]
[284, 0.9900000000000001]
[316, 0.9]
[236, 1.0]
[196, 1.0]
[196, 1.0]
[215, 0.7290000000000001]
[196, 0.8265074567167334]
[196, 0.9]
[196, 1.0]
[316, 1.0]
[196, 1.0]
[196, 1.0]
[230, 1.0]
[316, 0.9]
[316, 1.0]
Gen 25: Best Score = 0.0849, Params = [196, 0.8265074567167334]
[196, 0.9]
[196, 0.9183416185741482]
[196, 0.5975364807373928]
[278, 0.9]
[284, 0.9900000000000001]
[196, 1.0]
[284, 1.0]
[196, 0.81]
[196, 0.9]
[196, 0.9]
[312, 0.9]
[284, 1.0]
[316, 1.0]
[196, 0.9900000000000001]
[284, 1.0]
[312, 1.0]
[196, 0.7290000000000001]
[196, 0.8265074567167334]
[316, 1.0]
[284, 0.8910000000000001]
[316, 0.9]
[312, 0.7290000000000001]
[316, 0.9]
[253, 0.81]
[343, 0.9]
[196, 0.9]
[236, 0.9]
[347, 0.9]
[196, 1.0]
[316, 1.0]
Gen 26: Best Score = 0.0557, Params = [196, 1.0]
[312, 0.7290000000000001]
[381, 0.9]
[347, 0.9]
[377, 1.0]
[196, 0.5975364807373928]
[196, 0.81]
[196, 1.0]
[316, 0.81]
[176, 0.9]
[308, 0.9]
[308, 1.0]
[316, 1.0]
[196, 0.9900000000000001]
[196, 0.7290000000000001]
[196, 0.9183416185741482]
[196, 0.9900000000000001]
[284, 1.0]
[255, 0.9900000000000001]
[280, 1.0]
[284, 1.0]
[196, 0.9900000000000001]
[196, 0.81]
[196, 1.0]
[381, 0.7290000000000001]
[312, 0.7290000000000001]
[312, 0.9]
[196, 0.9900000000000001]
[253, 1.0]
[278, 0.7290000000000001]
[196, 0.9]
Gen 27: Best Score = 0.0628, Params = [196, 0.9900000000000001]
[419, 0.9]
[280, 0.9]
[312, 0.8019000000000002]
[196, 0.9]
[381, 0.9]
[176, 0.9]
[308, 0.9]
[284, 1.0]
[312, 0.7290000000000001]
[308, 0.9]
[339, 0.7290000000000001]
[278, 0.7290000000000001]
[347, 1.0]
[278, 0.7290000000000001]
[312, 0.6561000000000001]
[176, 0.8910000000000001]
[215, 1.0]
[339, 1.0]
[312, 0.9]
[176, 0.9]
